0,1,2,3,4,5,6,7,maxval
918.461,378.792,721.602,359.425,237.831,183.969,23.9007,21.5227,918.461
1645.613504,390.121,1025.216269,365.603,247.643,176.636,22.7826,21.9202,1645.613504
1937.078121,384.053,1153.961023,348.64,256.589,180.538,22.3025,22.1026,1937.078121
29.6692,156.395,26.9916,122.301,29.7008,156.835,27.0309,122.123,156.835
59.7412,311.333,53.8961,221.438,60.7728,177.01,16.5359,19.9327,311.333
129.904,590.241,95.2762,400.445,106.049,189.338,16.6193,21.9325,590.241
254.905,783.072,221.953,433.264,141.204,193.055,12.9864,21.9754,783.072
507.008,794.232,430.683,416.209,159.814,195.553,11.6639,22.151,794.232
853.125,661.713,758.75,389.115,146.964,196.487,11.026,22.2417,853.125
1873.079674,683.918,1209.50588,388.001,143.275,197.179,10.7578,22.2503,1873.079674
2121.100954,659.348,1244.681368,379.194,141.681,197.512,10.6245,22.2532,2121.100954
75.1266,142.281,32.0246,101.334,74.965,141.991,32.0246,101.629,142.281
116.878,245.917,72.6224,182.986,82.0688,162.512,28.7554,19.6304,245.917
195.698,376.343,167.288,298.576,119.43,169.012,32.94,20.3644,376.343
377.361,395.841,308.826,356.839,156.624,180.791,28.1829,21.3546,395.841
597.472,401.252,572.334,358.791,207.03,185.758,23.5204,21.1493,597.472
868.078,385.979,721.526,354.909,241.838,180.178,21.5982,21.627,868.078
1627.546468,402.301,1057.205381,358.675,248.52,178.62,20.7662,21.9517,1627.546468
1956.981995,399.063,1178.064325,344.018,258.624,180.937,20.3962,22.104,1956.981995
32.5151,158.714,30.777,124.088,32.5377,158.446,30.7568,124.252,158.714
65.3025,324.025,57.8347,228.061,66.9856,184.997,14.8376,19.9503,324.025
139.906,606.07,105.675,401.339,102.352,195.993,15.3503,21.8622,606.07
282.558,861.827,279.812,435.046,143.983,200.053,12.0042,22.1167,861.827
487.7,846.477,503.36,424.559,155.508,202.201,10.5324,22.2129,846.477
837.011,702.896,762.217,388.25,133.377,203.673,9.95977,22.2607,837.011
